Recursion Level (n),Time Interval (s)
-10,0.008132326887
-9,0.0131581049
-8,0.02128981373
-7,0.03444691862
-6,0.05573511433
-5,0.09017941499
-4,0.1459102934
-3,0.2360828548
-2,0.3819820591
-1,0.6180469716
0,1
1,1.618
2,2.617924
3,4.235801032
4,6.85352607
5,11.08900518
6,17.94201038
7,29.0301728
8,46.97081959
9,75.9987861
10,122.9660359
