"Start Prime","End Prime","ϕ-Correlation","Silver Ratio Correlation","Plastic Ratio Correlation"
"2","233","0.292","0.292","0.292"
"97","379","0.178","0.178","0.178"
"541","863","-0.021","-0.021","-0.021"
