Mass (kg),Separation (m),Scaled Frequencies (Hz)
1.40E+30,1000000000,"[0.029776001004967693, 0.009477995490899704, 0.0030169396659587657, 0.0009603217216946983, 0.00030567989793246135, 9.730093351955453e-05, 3.0971849074185986e-05, 9.858645753705685e-06, 3.138104407788368e-06, 9.988896568759672e-07, 3.1795645299035486e-07]"
1.40E+30,5000000000,"[0.002663246493808393, 0.0008477376883235291, 0.00026984328708397234, 8.58937859991592e-05, 2.734084124528724e-05, 8.702860064956471e-06, 2.7702063967497517e-06, 8.817840828550224e-07, 2.806805910522604e-07, 8.934340699184412e-08, 2.8438889710845993e-08]"
1.40E+30,10000000000,"[0.0009415998278716055, 0.0002997205340404876, 9.540400907737257e-05, 3.03680392708958e-05, 9.666447123943729e-06, 3.076925683824159e-06, 9.794158642140504e-07, 3.117577522645734e-07, 9.923557464025077e-08, 3.158766446912129e-08, 1.0054665881977767e-08]"
2.80E+30,1000000000,"[0.04210962445446022, 0.0134039097673414, 0.004266596992460242, 0.0013581000030621234, 0.0004322966574009102, 0.0001376042998149169, 4.3800809012486404e-05, 1.3942230531522502e-05, 4.437949813637099e-06, 1.4126433000682001e-06, 4.4965832806300325e-07]"
2.80E+30,5000000000,"[0.003766399311486422, 0.0011988821361619505, 0.0003816160363094903, 0.0001214721570835832, 3.8665788495774915e-05, 1.2307702735296636e-05, 3.9176634568562014e-06, 1.2470310090582937e-06, 3.969422985610031e-07, 1.2635065787648515e-07, 4.021866352791107e-08]"
2.80E+30,10000000000,"[0.0013316232469041964, 0.00042386884416176457, 0.00013492164354198617, 4.29468929995796e-05, 1.367042062264362e-05, 4.351430032478236e-06, 1.3851031983748759e-06, 4.408920414275112e-07, 1.403402955261302e-07, 4.467170349592206e-08, 1.4219444855422996e-08]"
